"id","name","type","resource_version","release_tag","asset","url","md5","size","license","source_url","description","citation"
"annotation-schaefer2018-400parcels-kong2022-17networks-order","Schaefer2018_400Parcels_Kong2022_17Networks_order","annotation","dev","prerelease","annotation-schaefer2018-400parcels-kong2022-17networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-400parcels-kong2022-17networks-order.tar.gz","1cc61d0279ae8e0f03b121b6a66dc6a4",649783,"unknown",NA,"Schaefer2018_400Parcels_Kong2022_17Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179; Kong R, et al. (2021). Individual-specific areal-level parcellations improve functional connectivity prediction of behavior. Cerebral Cortex 31:4477-4500. doi:10.1093/cercor/bhab101."
"annotation-schaefer2018-500parcels-17networks-order","Schaefer2018_500Parcels_17Networks_order","annotation","dev","prerelease","annotation-schaefer2018-500parcels-17networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-500parcels-17networks-order.tar.gz","fbe0fc05649f55b2139afb53d377f261",652469,"unknown",NA,"Schaefer2018_500Parcels_17Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179."
"annotation-schaefer2018-500parcels-7networks-order","Schaefer2018_500Parcels_7Networks_order","annotation","dev","prerelease","annotation-schaefer2018-500parcels-7networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-500parcels-7networks-order.tar.gz","e711c10d30de400ce6439512d102b0db",651685,"unknown",NA,"Schaefer2018_500Parcels_7Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179."
"annotation-schaefer2018-500parcels-kong2022-17networks-order","Schaefer2018_500Parcels_Kong2022_17Networks_order","annotation","dev","prerelease","annotation-schaefer2018-500parcels-kong2022-17networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-500parcels-kong2022-17networks-order.tar.gz","189037c8237450596cf9095b07b2f996",657730,"unknown",NA,"Schaefer2018_500Parcels_Kong2022_17Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179; Kong R, et al. (2021). Individual-specific areal-level parcellations improve functional connectivity prediction of behavior. Cerebral Cortex 31:4477-4500. doi:10.1093/cercor/bhab101."
"annotation-schaefer2018-600parcels-17networks-order","Schaefer2018_600Parcels_17Networks_order","annotation","dev","prerelease","annotation-schaefer2018-600parcels-17networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-600parcels-17networks-order.tar.gz","d6d78ed9dcaf420b40a948e56fbab2b1",659373,"unknown",NA,"Schaefer2018_600Parcels_17Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179."
"annotation-schaefer2018-600parcels-7networks-order","Schaefer2018_600Parcels_7Networks_order","annotation","dev","prerelease","annotation-schaefer2018-600parcels-7networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-600parcels-7networks-order.tar.gz","affef6aa30222b4d872b3ead3c676ca2",658927,"unknown",NA,"Schaefer2018_600Parcels_7Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179."
"annotation-schaefer2018-600parcels-kong2022-17networks-order","Schaefer2018_600Parcels_Kong2022_17Networks_order","annotation","dev","prerelease","annotation-schaefer2018-600parcels-kong2022-17networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-600parcels-kong2022-17networks-order.tar.gz","f7c52c3a051ee77bf2a23a3dfdb5f387",665425,"unknown",NA,"Schaefer2018_600Parcels_Kong2022_17Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179; Kong R, et al. (2021). Individual-specific areal-level parcellations improve functional connectivity prediction of behavior. Cerebral Cortex 31:4477-4500. doi:10.1093/cercor/bhab101."
"annotation-schaefer2018-700parcels-17networks-order","Schaefer2018_700Parcels_17Networks_order","annotation","dev","prerelease","annotation-schaefer2018-700parcels-17networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-700parcels-17networks-order.tar.gz","afb0aff13bf6971aca29d334c4f03ee9",667388,"unknown",NA,"Schaefer2018_700Parcels_17Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179."
"annotation-schaefer2018-700parcels-7networks-order","Schaefer2018_700Parcels_7Networks_order","annotation","dev","prerelease","annotation-schaefer2018-700parcels-7networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-700parcels-7networks-order.tar.gz","b4e40a640a1d2f3b20643de9cdc1a7fa",666903,"unknown",NA,"Schaefer2018_700Parcels_7Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179."
"annotation-schaefer2018-700parcels-kong2022-17networks-order","Schaefer2018_700Parcels_Kong2022_17Networks_order","annotation","dev","prerelease","annotation-schaefer2018-700parcels-kong2022-17networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-700parcels-kong2022-17networks-order.tar.gz","a467741ed49bec907f444d7b6c0a6c53",673796,"unknown",NA,"Schaefer2018_700Parcels_Kong2022_17Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179; Kong R, et al. (2021). Individual-specific areal-level parcellations improve functional connectivity prediction of behavior. Cerebral Cortex 31:4477-4500. doi:10.1093/cercor/bhab101."
